Item Description,MonthDate,Value,YoY_Growth,MoM_Growth
General Index,01-04-2012,99.3,NULL,NULL
General Index,01-05-2012,105,NULL,5.74
General Index,01-06-2012,102.3,NULL,-2.57
General Index,01-07-2012,101.5,NULL,-0.78
General Index,01-08-2012,99.9,NULL,-1.58
General Index,01-09-2012,99,NULL,-0.9
General Index,01-10-2012,103.7,NULL,4.75
General Index,01-11-2012,98.3,NULL,-5.21
General Index,01-12-2012,107.1,NULL,8.95
General Index,01-01-2013,107.2,NULL,0.09
General Index,01-02-2013,101.4,NULL,-5.41
General Index,01-03-2013,115.2,NULL,13.61
General Index,01-04-2013,102.6,3.32,-10.94
General Index,01-05-2013,106,0.95,3.31
General Index,01-06-2013,101.3,-0.98,-4.43
General Index,01-07-2013,104.7,3.15,3.36
General Index,01-08-2013,104.3,4.4,-0.38
General Index,01-09-2013,105.7,6.77,1.34
General Index,01-10-2013,105.7,1.93,0
General Index,01-11-2013,101.9,3.66,-3.6
General Index,01-12-2013,110.9,3.55,8.83
General Index,01-01-2014,112.3,4.76,1.26
General Index,01-02-2014,106.7,5.23,-4.99
General Index,01-03-2014,118.5,2.86,11.06
General Index,01-04-2014,106.6,3.9,-10.04
General Index,01-05-2014,111,4.72,4.13
General Index,01-06-2014,109.7,8.29,-1.17
General Index,01-07-2014,110.4,5.44,0.64
General Index,01-08-2014,108,3.55,-2.17
General Index,01-09-2014,110.2,4.26,2.04
General Index,01-10-2014,106,0.28,-3.81
General Index,01-11-2014,109.4,7.36,3.21
General Index,01-12-2014,115.3,3.97,5.39
General Index,01-01-2015,114.3,1.78,-0.87
General Index,01-02-2015,109.9,3,-3.85
General Index,01-03-2015,121.3,2.36,10.37
General Index,01-04-2015,107.3,0.66,-11.54
General Index,01-05-2015,113,1.8,5.31
General Index,01-06-2015,110.8,1,-1.95
General Index,01-07-2015,111.8,1.27,0.9
General Index,01-08-2015,112,3.7,0.18
General Index,01-09-2015,112.6,2.18,0.54
General Index,01-10-2015,115.5,8.96,2.58
General Index,01-11-2015,110.3,0.82,-4.5
General Index,01-12-2015,118.9,3.12,7.8
General Index,01-01-2016,118.9,4.02,0
General Index,01-02-2016,117.8,7.19,-0.93
General Index,01-03-2016,127.6,5.19,8.32
General Index,01-04-2016,113.7,5.96,-10.89
General Index,01-05-2016,121.3,7.35,6.68
General Index,01-06-2016,119.7,8.03,-1.32
General Index,01-07-2016,116.8,4.47,-2.42
General Index,01-08-2016,116.5,4.02,-0.26
General Index,01-09-2016,118.2,4.97,1.46
General Index,01-10-2016,120.3,4.16,1.78
General Index,01-11-2016,115.9,5.08,-3.66
General Index,01-12-2016,121.7,2.35,5
General Index,01-01-2017,123.1,3.53,1.15
General Index,01-02-2017,119.2,1.19,-3.17
General Index,01-03-2017,133.2,4.39,11.74
General Index,01-04-2017,117.3,3.17,-11.94
General Index,01-05-2017,124.8,2.89,6.39
General Index,01-06-2017,119.3,-0.33,-4.41
General Index,01-07-2017,118,1.03,-1.09
General Index,01-08-2017,122.1,4.81,3.47
General Index,01-09-2017,123.1,4.15,0.82
General Index,01-10-2017,122.5,1.83,-0.49
General Index,01-11-2017,125.8,8.54,2.69
General Index,01-12-2017,130.6,7.31,3.82
General Index,01-01-2018,132.3,7.47,1.3
General Index,01-02-2018,127.4,6.88,-3.7
General Index,01-03-2018,140.3,5.33,10.13
General Index,01-04-2018,122.6,4.52,-12.62
General Index,01-05-2018,129.6,3.85,5.71
General Index,01-06-2018,127.7,7.04,-1.47
General Index,01-07-2018,125.7,6.53,-1.57
General Index,01-08-2018,128,4.83,1.83
General Index,01-09-2018,128.8,4.63,0.63
General Index,01-10-2018,132.8,8.41,3.11
General Index,01-11-2018,126.1,0.24,-5.05
General Index,01-12-2018,133.9,2.53,6.19
General Index,01-01-2019,134.4,1.59,0.37
General Index,01-02-2019,127.6,0.16,-5.06
General Index,01-03-2019,144.1,2.71,12.93
General Index,01-04-2019,126.5,3.18,-12.21
General Index,01-05-2019,135.4,4.48,7.04
General Index,01-06-2019,129.3,1.25,-4.51
General Index,01-07-2019,131.8,4.85,1.93
General Index,01-08-2019,126.2,-1.41,-4.25
General Index,01-09-2019,122.9,-4.58,-2.61
General Index,01-10-2019,124,-6.63,0.9
General Index,01-11-2019,128.8,2.14,3.87
General Index,01-12-2019,134.5,0.45,4.43
General Index,01-01-2020,137.4,2.23,2.16
General Index,01-02-2020,134.2,5.17,-2.33
General Index,01-03-2020,117.2,-18.67,-12.67
General Index,01-04-2020,54,-57.31,-53.92
General Index,01-05-2020,90.2,-33.38,67.04
General Index,01-06-2020,107.9,-16.55,19.62
General Index,01-07-2020,117.9,-10.55,9.27
General Index,01-08-2020,117.2,-7.13,-0.59
General Index,01-09-2020,124.1,0.98,5.89
General Index,01-10-2020,129.6,4.52,4.43
General Index,01-11-2020,126.7,-1.63,-2.24
General Index,01-12-2020,137.4,2.16,8.45
General Index,01-01-2021,136.6,-0.58,-0.58
General Index,01-02-2021,129.9,-3.2,-4.9
General Index,01-03-2021,145.6,24.23,12.09
General Index,01-04-2021,126.1,133.52,-13.39
General Index,01-05-2021,115.1,27.61,-8.72
General Index,01-06-2021,122.8,13.81,6.69
General Index,01-07-2021,131.5,11.54,7.08
General Index,01-08-2021,132.4,12.97,0.68
General Index,01-09-2021,129.5,4.35,-2.19
General Index,01-10-2021,135,4.17,4.25
General Index,01-11-2021,128,1.03,-5.19
General Index,01-12-2021,138.8,1.02,8.44
General Index,01-01-2022,139.3,1.98,0.36
General Index,01-02-2022,131.4,1.15,-5.67
General Index,01-03-2022,148.8,2.2,13.24
General Index,01-04-2022,134.5,6.66,-9.61
General Index,01-05-2022,137.8,19.72,2.45
General Index,01-06-2022,138.3,12.62,0.36
General Index,01-07-2022,134.4,2.21,-2.82
General Index,01-08-2022,131.5,-0.68,-2.16
General Index,01-09-2022,133.8,3.32,1.75
General Index,01-10-2022,129.5,-4.07,-3.21
General Index,01-11-2022,137.7,7.58,6.33
General Index,01-12-2022,145.9,5.12,5.95
General Index,01-01-2023,147.4,5.81,1.03
General Index,01-02-2023,139.3,6.01,-5.5
General Index,01-03-2023,151.7,1.95,8.9
General Index,01-04-2023,140.7,4.61,-7.25
General Index,01-05-2023,145.6,5.66,3.48
General Index,01-06-2023,143.9,4.05,-1.17
General Index,01-07-2023,142.7,6.18,-0.83
General Index,01-08-2023,145.8,10.87,2.17
General Index,01-09-2023,142.3,6.35,-2.4
General Index,01-10-2023,144.9,11.89,1.83
General Index,01-11-2023,141.1,2.47,-2.62
General Index,01-12-2023,152.3,4.39,7.94
General Index,01-01-2024,153.6,4.21,0.85
General Index,01-02-2024,147.1,5.6,-4.23
General Index,01-03-2024,160,5.47,8.77
General Index,01-04-2024,148,5.19,-7.5
General Index,01-05-2024,154.7,6.25,4.53
General Index,01-06-2024,151,4.93,-2.39
General Index,01-07-2024,149.8,4.98,-0.79
General Index,01-08-2024,145.8,0,-2.67
General Index,01-09-2024,146.9,3.23,0.75
General Index,01-10-2024,150.3,3.73,2.31
General Index,01-11-2024,148.1,4.96,-1.46
General Index,01-12-2024,158,3.74,6.68
General Index,01-01-2025,161.6,5.21,2.28
General Index,01-02-2025,151.1,2.72,-6.5
General Index,01-03-2025,166.3,3.94,10.06
General Index,01-04-2025,151.8,2.57,-8.72
General Index,01-05-2025,157.6,1.87,3.82
General Index,01-06-2025,153.3,1.52,-2.73
General Index,01-07-2025,156.2,4.27,1.89
General Index,01-08-2025,151.8,4.12,-2.82
General Index,01-09-2025,153.7,4.63,1.25
General Index,01-10-2025,151.1,0.53,-1.69
General Index,01-11-2025,158.7,7.16,5.03
General Index,01-12-2025,170.3,7.78,7.31
Manufacture of basic metals,01-04-2012,104.1,NULL,NULL
Manufacture of basic metals,01-05-2012,119.3,NULL,14.6
Manufacture of basic metals,01-06-2012,106.4,NULL,-10.81
Manufacture of basic metals,01-07-2012,109.5,NULL,2.91
Manufacture of basic metals,01-08-2012,101.3,NULL,-7.49
Manufacture of basic metals,01-09-2012,105.3,NULL,3.95
Manufacture of basic metals,01-10-2012,102.9,NULL,-2.28
Manufacture of basic metals,01-11-2012,104.5,NULL,1.55
Manufacture of basic metals,01-12-2012,109.9,NULL,5.17
Manufacture of basic metals,01-01-2013,109.9,NULL,0
Manufacture of basic metals,01-02-2013,105.5,NULL,-4
Manufacture of basic metals,01-03-2013,115.5,NULL,9.48
Manufacture of basic metals,01-04-2013,113,8.55,-2.16
Manufacture of basic metals,01-05-2013,114.2,-4.27,1.06
Manufacture of basic metals,01-06-2013,104.1,-2.16,-8.84
Manufacture of basic metals,01-07-2013,112.5,2.74,8.07
Manufacture of basic metals,01-08-2013,113.8,12.34,1.16
Manufacture of basic metals,01-09-2013,109.8,4.27,-3.51
Manufacture of basic metals,01-10-2013,107.4,4.37,-2.19
Manufacture of basic metals,01-11-2013,108.8,4.11,1.3
Manufacture of basic metals,01-12-2013,111.5,1.46,2.48
Manufacture of basic metals,01-01-2014,120.4,9.55,7.98
Manufacture of basic metals,01-02-2014,115.2,9.19,-4.32
Manufacture of basic metals,01-03-2014,119.7,3.64,3.91
Manufacture of basic metals,01-04-2014,117.9,4.34,-1.5
Manufacture of basic metals,01-05-2014,127.6,11.73,8.23
Manufacture of basic metals,01-06-2014,125.7,20.75,-1.49
Manufacture of basic metals,01-07-2014,126.5,12.44,0.64
Manufacture of basic metals,01-08-2014,123.7,8.7,-2.21
Manufacture of basic metals,01-09-2014,119.5,8.83,-3.4
Manufacture of basic metals,01-10-2014,123.8,15.27,3.6
Manufacture of basic metals,01-11-2014,123.8,13.79,0
Manufacture of basic metals,01-12-2014,124.1,11.3,0.24
Manufacture of basic metals,01-01-2015,128.3,6.56,3.38
Manufacture of basic metals,01-02-2015,116.8,1.39,-8.96
Manufacture of basic metals,01-03-2015,124.1,3.68,6.25
Manufacture of basic metals,01-04-2015,124.1,5.26,0
Manufacture of basic metals,01-05-2015,126.7,-0.71,2.1
Manufacture of basic metals,01-06-2015,124.3,-1.11,-1.89
Manufacture of basic metals,01-07-2015,126.3,-0.16,1.61
Manufacture of basic metals,01-08-2015,124,0.24,-1.82
Manufacture of basic metals,01-09-2015,118.6,-0.75,-4.35
Manufacture of basic metals,01-10-2015,119,-3.88,0.34
Manufacture of basic metals,01-11-2015,115.1,-7.03,-3.28
Manufacture of basic metals,01-12-2015,121.7,-1.93,5.73
Manufacture of basic metals,01-01-2016,126.8,-1.17,4.19
Manufacture of basic metals,01-02-2016,126.1,7.96,-0.55
Manufacture of basic metals,01-03-2016,138.7,11.76,9.99
Manufacture of basic metals,01-04-2016,122.4,-1.37,-11.75
Manufacture of basic metals,01-05-2016,134.6,6.24,9.97
Manufacture of basic metals,01-06-2016,131,5.39,-2.67
Manufacture of basic metals,01-07-2016,126.6,0.24,-3.36
Manufacture of basic metals,01-08-2016,133.7,7.82,5.61
Manufacture of basic metals,01-09-2016,129.8,9.44,-2.92
Manufacture of basic metals,01-10-2016,130.7,9.83,0.69
Manufacture of basic metals,01-11-2016,120.7,4.87,-7.65
Manufacture of basic metals,01-12-2016,133.2,9.45,10.36
Manufacture of basic metals,01-01-2017,137.3,8.28,3.08
Manufacture of basic metals,01-02-2017,129.1,2.38,-5.97
Manufacture of basic metals,01-03-2017,137.7,-0.72,6.66
Manufacture of basic metals,01-04-2017,131.1,7.11,-4.79
Manufacture of basic metals,01-05-2017,135.4,0.59,3.28
Manufacture of basic metals,01-06-2017,135.1,3.13,-0.22
Manufacture of basic metals,01-07-2017,131.7,4.03,-2.52
Manufacture of basic metals,01-08-2017,136.2,1.87,3.42
Manufacture of basic metals,01-09-2017,133.1,2.54,-2.28
Manufacture of basic metals,01-10-2017,138.6,6.04,4.13
Manufacture of basic metals,01-11-2017,136.6,13.17,-1.44
Manufacture of basic metals,01-12-2017,140.3,5.33,2.71
Manufacture of basic metals,01-01-2018,143.7,4.66,2.42
Manufacture of basic metals,01-02-2018,143,10.77,-0.49
Manufacture of basic metals,01-03-2018,151.3,9.88,5.8
Manufacture of basic metals,01-04-2018,134,2.21,-11.43
Manufacture of basic metals,01-05-2018,138.3,2.14,3.21
Manufacture of basic metals,01-06-2018,139,2.89,0.51
Manufacture of basic metals,01-07-2018,136.9,3.95,-1.51
Manufacture of basic metals,01-08-2018,140.4,3.08,2.56
Manufacture of basic metals,01-09-2018,138.7,4.21,-1.21
Manufacture of basic metals,01-10-2018,143.2,3.32,3.24
Manufacture of basic metals,01-11-2018,139.5,2.12,-2.58
Manufacture of basic metals,01-12-2018,146.4,4.35,4.95
Manufacture of basic metals,01-01-2019,146,1.6,-0.27
Manufacture of basic metals,01-02-2019,140.1,-2.03,-4.04
Manufacture of basic metals,01-03-2019,177.2,17.12,26.48
Manufacture of basic metals,01-04-2019,137.5,2.61,-22.4
Manufacture of basic metals,01-05-2019,167,20.75,21.45
Manufacture of basic metals,01-06-2019,164.1,18.06,-1.74
Manufacture of basic metals,01-07-2019,164.7,20.31,0.37
Manufacture of basic metals,01-08-2019,156.9,11.75,-4.74
Manufacture of basic metals,01-09-2019,150.4,8.44,-4.14
Manufacture of basic metals,01-10-2019,156.3,9.15,3.92
Manufacture of basic metals,01-11-2019,160.5,15.05,2.69
Manufacture of basic metals,01-12-2019,170.9,16.73,6.48
Manufacture of basic metals,01-01-2020,168.7,15.55,-1.29
Manufacture of basic metals,01-02-2020,169.5,20.99,0.47
Manufacture of basic metals,01-03-2020,143,-19.3,-15.63
Manufacture of basic metals,01-04-2020,40.3,-70.69,-71.82
Manufacture of basic metals,01-05-2020,103.2,-38.2,156.08
Manufacture of basic metals,01-06-2020,131.5,-19.87,27.42
Manufacture of basic metals,01-07-2020,153.1,-7.04,16.43
Manufacture of basic metals,01-08-2020,162.9,3.82,6.4
Manufacture of basic metals,01-09-2020,160.5,6.72,-1.47
Manufacture of basic metals,01-10-2020,170.6,9.15,6.29
Manufacture of basic metals,01-11-2020,165.4,3.05,-3.05
Manufacture of basic metals,01-12-2020,181.7,6.32,9.85
Manufacture of basic metals,01-01-2021,179.8,6.58,-1.05
Manufacture of basic metals,01-02-2021,163.6,-3.48,-9.01
Manufacture of basic metals,01-03-2021,184.7,29.16,12.9
Manufacture of basic metals,01-04-2021,168.5,318.11,-8.77
Manufacture of basic metals,01-05-2021,159.8,54.84,-5.16
Manufacture of basic metals,01-06-2021,163.5,24.33,2.32
Manufacture of basic metals,01-07-2021,171.1,11.76,4.65
Manufacture of basic metals,01-08-2021,178.8,9.76,4.5
Manufacture of basic metals,01-09-2021,174.7,8.85,-2.29
Manufacture of basic metals,01-10-2021,182.6,7.03,4.52
Manufacture of basic metals,01-11-2021,175.7,6.23,-3.78
Manufacture of basic metals,01-12-2021,185.4,2.04,5.52
Manufacture of basic metals,01-01-2022,191.6,6.56,3.34
Manufacture of basic metals,01-02-2022,180,10.02,-6.05
Manufacture of basic metals,01-03-2022,199.2,7.85,10.67
Manufacture of basic metals,01-04-2022,180.1,6.88,-9.59
Manufacture of basic metals,01-05-2022,186.2,16.52,3.39
Manufacture of basic metals,01-06-2022,175.2,7.16,-5.91
Manufacture of basic metals,01-07-2022,182.6,6.72,4.22
Manufacture of basic metals,01-08-2022,185.9,3.97,1.81
Manufacture of basic metals,01-09-2022,185.7,6.3,-0.11
Manufacture of basic metals,01-10-2022,192.2,5.26,3.5
Manufacture of basic metals,01-11-2022,192.7,9.68,0.26
Manufacture of basic metals,01-12-2022,201.9,8.9,4.77
Manufacture of basic metals,01-01-2023,210.8,10.02,4.41
Manufacture of basic metals,01-02-2023,195.4,8.56,-7.31
Manufacture of basic metals,01-03-2023,214,7.43,9.52
Manufacture of basic metals,01-04-2023,201.9,12.1,-5.65
Manufacture of basic metals,01-05-2023,206.3,10.79,2.18
Manufacture of basic metals,01-06-2023,203.4,16.1,-1.41
Manufacture of basic metals,01-07-2023,209.4,14.68,2.95
Manufacture of basic metals,01-08-2023,217.4,16.94,3.82
Manufacture of basic metals,01-09-2023,213.6,15.02,-1.75
Manufacture of basic metals,01-10-2023,217.2,13.01,1.69
Manufacture of basic metals,01-11-2023,207.3,7.58,-4.56
Manufacture of basic metals,01-12-2023,220.2,9.06,6.22
Manufacture of basic metals,01-01-2024,226.9,7.64,3.04
Manufacture of basic metals,01-02-2024,213.2,9.11,-6.04
Manufacture of basic metals,01-03-2024,232.1,8.46,8.86
Manufacture of basic metals,01-04-2024,220.7,9.31,-4.91
Manufacture of basic metals,01-05-2024,225.9,9.5,2.36
Manufacture of basic metals,01-06-2024,219.2,7.77,-2.97
Manufacture of basic metals,01-07-2024,223.7,6.83,2.05
Manufacture of basic metals,01-08-2024,225.6,3.77,0.85
Manufacture of basic metals,01-09-2024,219.7,2.86,-2.62
Manufacture of basic metals,01-10-2024,228.2,5.06,3.87
Manufacture of basic metals,01-11-2024,222,7.09,-2.72
Manufacture of basic metals,01-12-2024,236.8,7.54,6.67
Manufacture of basic metals,01-01-2025,242.2,6.74,2.28
Manufacture of basic metals,01-02-2025,224.3,5.21,-7.39
Manufacture of basic metals,01-03-2025,252.2,8.66,12.44
Manufacture of basic metals,01-04-2025,235.6,6.75,-6.58
Manufacture of basic metals,01-05-2025,243.5,7.79,3.35
Manufacture of basic metals,01-06-2025,239.4,9.22,-1.68
Manufacture of basic metals,01-07-2025,255.2,14.08,6.6
Manufacture of basic metals,01-08-2025,252.9,12.1,-0.9
Manufacture of basic metals,01-09-2025,247.5,12.65,-2.14
Manufacture of basic metals,01-10-2025,247.9,8.63,0.16
Manufacture of basic metals,01-11-2025,247.1,11.31,-0.32
Manufacture of basic metals,01-12-2025,266.9,12.71,8.01
Manufacture of beverages,01-04-2012,134.2,NULL,NULL
Manufacture of beverages,01-05-2012,147.1,NULL,9.61
Manufacture of beverages,01-06-2012,130.5,NULL,-11.28
Manufacture of beverages,01-07-2012,93.1,NULL,-28.66
Manufacture of beverages,01-08-2012,85.1,NULL,-8.59
Manufacture of beverages,01-09-2012,82.3,NULL,-3.29
Manufacture of beverages,01-10-2012,96,NULL,16.65
Manufacture of beverages,01-11-2012,90.2,NULL,-6.04
Manufacture of beverages,01-12-2012,91.9,NULL,1.88
Manufacture of beverages,01-01-2013,93.7,NULL,1.96
Manufacture of beverages,01-02-2013,98.5,NULL,5.12
Manufacture of beverages,01-03-2013,137.9,NULL,40
Manufacture of beverages,01-04-2013,138.2,2.98,0.22
Manufacture of beverages,01-05-2013,156.5,6.39,13.24
Manufacture of beverages,01-06-2013,116.2,-10.96,-25.75
Manufacture of beverages,01-07-2013,87.4,-6.12,-24.78
Manufacture of beverages,01-08-2013,82.7,-2.82,-5.38
Manufacture of beverages,01-09-2013,90.1,9.48,8.95
Manufacture of beverages,01-10-2013,94.6,-1.46,4.99
Manufacture of beverages,01-11-2013,83.6,-7.32,-11.63
Manufacture of beverages,01-12-2013,88.5,-3.7,5.86
Manufacture of beverages,01-01-2014,98,4.59,10.73
Manufacture of beverages,01-02-2014,97.9,-0.61,-0.1
Manufacture of beverages,01-03-2014,123.4,-10.51,26.05
Manufacture of beverages,01-04-2014,132.7,-3.98,7.54
Manufacture of beverages,01-05-2014,151,-3.51,13.79
Manufacture of beverages,01-06-2014,122.5,5.42,-18.87
Manufacture of beverages,01-07-2014,102.7,17.51,-16.16
Manufacture of beverages,01-08-2014,94.6,14.39,-7.89
Manufacture of beverages,01-09-2014,98,8.77,3.59
Manufacture of beverages,01-10-2014,94.4,-0.21,-3.67
Manufacture of beverages,01-11-2014,87.9,5.14,-6.89
Manufacture of beverages,01-12-2014,89.8,1.47,2.16
Manufacture of beverages,01-01-2015,92,-6.12,2.45
Manufacture of beverages,01-02-2015,105.5,7.76,14.67
Manufacture of beverages,01-03-2015,127.3,3.16,20.66
Manufacture of beverages,01-04-2015,122.6,-7.61,-3.69
Manufacture of beverages,01-05-2015,137.2,-9.14,11.91
Manufacture of beverages,01-06-2015,111.1,-9.31,-19.02
Manufacture of beverages,01-07-2015,90.5,-11.88,-18.54
Manufacture of beverages,01-08-2015,86.5,-8.56,-4.42
Manufacture of beverages,01-09-2015,92.4,-5.71,6.82
Manufacture of beverages,01-10-2015,100,5.93,8.23
Manufacture of beverages,01-11-2015,95.2,8.3,-4.8
Manufacture of beverages,01-12-2015,104.7,16.59,9.98
Manufacture of beverages,01-01-2016,129.5,40.76,23.69
Manufacture of beverages,01-02-2016,113.2,7.3,-12.59
Manufacture of beverages,01-03-2016,133.9,5.18,18.29
Manufacture of beverages,01-04-2016,133.8,9.14,-0.07
Manufacture of beverages,01-05-2016,140.8,2.62,5.23
Manufacture of beverages,01-06-2016,111,-0.09,-21.16
Manufacture of beverages,01-07-2016,96.1,6.19,-13.42
Manufacture of beverages,01-08-2016,97.7,12.95,1.66
Manufacture of beverages,01-09-2016,98.3,6.39,0.61
Manufacture of beverages,01-10-2016,98.1,-1.9,-0.2
Manufacture of beverages,01-11-2016,91.1,-4.31,-7.14
Manufacture of beverages,01-12-2016,95.2,-9.07,4.5
Manufacture of beverages,01-01-2017,95.9,-25.95,0.74
Manufacture of beverages,01-02-2017,97.9,-13.52,2.09
Manufacture of beverages,01-03-2017,119.3,-10.9,21.86
Manufacture of beverages,01-04-2017,112.2,-16.14,-5.95
Manufacture of beverages,01-05-2017,120.8,-14.2,7.66
Manufacture of beverages,01-06-2017,105.4,-5.05,-12.75
Manufacture of beverages,01-07-2017,92.1,-4.16,-12.62
Manufacture of beverages,01-08-2017,95.8,-1.94,4.02
Manufacture of beverages,01-09-2017,99.4,1.12,3.76
Manufacture of beverages,01-10-2017,101.2,3.16,1.81
Manufacture of beverages,01-11-2017,96.5,5.93,-4.64
Manufacture of beverages,01-12-2017,101,6.09,4.66
Manufacture of beverages,01-01-2018,107.8,12.41,6.73
Manufacture of beverages,01-02-2018,109.9,12.26,1.95
Manufacture of beverages,01-03-2018,123.1,3.19,12.01
Manufacture of beverages,01-04-2018,116.4,3.74,-5.44
Manufacture of beverages,01-05-2018,132.9,10.02,14.18
Manufacture of beverages,01-06-2018,117.4,11.39,-11.66
Manufacture of beverages,01-07-2018,103.6,12.49,-11.75
Manufacture of beverages,01-08-2018,103.1,7.62,-0.48
Manufacture of beverages,01-09-2018,103,3.62,-0.1
Manufacture of beverages,01-10-2018,98.8,-2.37,-4.08
Manufacture of beverages,01-11-2018,97.7,1.24,-1.11
Manufacture of beverages,01-12-2018,101.9,0.89,4.3
Manufacture of beverages,01-01-2019,107.4,-0.37,5.4
Manufacture of beverages,01-02-2019,107.6,-2.09,0.19
Manufacture of beverages,01-03-2019,121,-1.71,12.45
Manufacture of beverages,01-04-2019,123.4,6.01,1.98
Manufacture of beverages,01-05-2019,135.6,2.03,9.89
Manufacture of beverages,01-06-2019,124.8,6.3,-7.96
Manufacture of beverages,01-07-2019,105.9,2.22,-15.14
Manufacture of beverages,01-08-2019,96.9,-6.01,-8.5
Manufacture of beverages,01-09-2019,99,-3.88,2.17
Manufacture of beverages,01-10-2019,92.4,-6.48,-6.67
Manufacture of beverages,01-11-2019,101.9,4.3,10.28
Manufacture of beverages,01-12-2019,97.6,-4.22,-4.22
Manufacture of beverages,01-01-2020,103.2,-3.91,5.74
Manufacture of beverages,01-02-2020,108.7,1.02,5.33
Manufacture of beverages,01-03-2020,87.5,-27.69,-19.5
Manufacture of beverages,01-04-2020,7.2,-94.17,-91.77
Manufacture of beverages,01-05-2020,54.9,-59.51,662.5
Manufacture of beverages,01-06-2020,83.9,-32.77,52.82
Manufacture of beverages,01-07-2020,78.9,-25.5,-5.96
Manufacture of beverages,01-08-2020,76.8,-20.74,-2.66
Manufacture of beverages,01-09-2020,84.6,-14.55,10.16
Manufacture of beverages,01-10-2020,82.7,-10.5,-2.25
Manufacture of beverages,01-11-2020,86.3,-15.31,4.35
Manufacture of beverages,01-12-2020,90.1,-7.68,4.4
Manufacture of beverages,01-01-2021,95.4,-7.56,5.88
Manufacture of beverages,01-02-2021,94.7,-12.88,-0.73
Manufacture of beverages,01-03-2021,110.7,26.51,16.9
Manufacture of beverages,01-04-2021,91.5,1170.83,-17.34
Manufacture of beverages,01-05-2021,54.8,-0.18,-40.11
Manufacture of beverages,01-06-2021,82,-2.26,49.64
Manufacture of beverages,01-07-2021,90.2,14.32,10
Manufacture of beverages,01-08-2021,86.3,12.37,-4.32
Manufacture of beverages,01-09-2021,85.3,0.83,-1.16
Manufacture of beverages,01-10-2021,86.8,4.96,1.76
Manufacture of beverages,01-11-2021,85.2,-1.27,-1.84
Manufacture of beverages,01-12-2021,92,2.11,7.98
Manufacture of beverages,01-01-2022,91.5,-4.09,-0.54
Manufacture of beverages,01-02-2022,94.4,-0.32,3.17
Manufacture of beverages,01-03-2022,116.1,4.88,22.99
Manufacture of beverages,01-04-2022,118.2,29.18,1.81
Manufacture of beverages,01-05-2022,126.2,130.29,6.77
Manufacture of beverages,01-06-2022,119.5,45.73,-5.31
Manufacture of beverages,01-07-2022,102,13.08,-14.64
Manufacture of beverages,01-08-2022,91.8,6.37,-10
Manufacture of beverages,01-09-2022,95.3,11.72,3.81
Manufacture of beverages,01-10-2022,89.9,3.57,-5.67
Manufacture of beverages,01-11-2022,92.9,9.04,3.34
Manufacture of beverages,01-12-2022,98.1,6.63,5.6
Manufacture of beverages,01-01-2023,104.3,13.99,6.32
Manufacture of beverages,01-02-2023,104.4,10.59,0.1
Manufacture of beverages,01-03-2023,123.5,6.37,18.3
Manufacture of beverages,01-04-2023,109.2,-7.61,-11.58
Manufacture of beverages,01-05-2023,124.1,-1.66,13.64
Manufacture of beverages,01-06-2023,125,4.6,0.73
Manufacture of beverages,01-07-2023,109.4,7.25,-12.48
Manufacture of beverages,01-08-2023,103.4,12.64,-5.48
Manufacture of beverages,01-09-2023,101.6,6.61,-1.74
Manufacture of beverages,01-10-2023,99.6,10.79,-1.97
Manufacture of beverages,01-11-2023,100.7,8.4,1.1
Manufacture of beverages,01-12-2023,101.3,3.26,0.6
Manufacture of beverages,01-01-2024,112.6,7.96,11.15
Manufacture of beverages,01-02-2024,120,14.94,6.57
Manufacture of beverages,01-03-2024,124.2,0.57,3.5
Manufacture of beverages,01-04-2024,123.8,13.37,-0.32
Manufacture of beverages,01-05-2024,136.4,9.91,10.18
Manufacture of beverages,01-06-2024,125.2,0.16,-8.21
Manufacture of beverages,01-07-2024,112.9,3.2,-9.82
Manufacture of beverages,01-08-2024,100.3,-3,-11.16
Manufacture of beverages,01-09-2024,101.8,0.2,1.5
Manufacture of beverages,01-10-2024,102.7,3.11,0.88
Manufacture of beverages,01-11-2024,99.4,-1.29,-3.21
Manufacture of beverages,01-12-2024,104.2,2.86,4.83
Manufacture of beverages,01-01-2025,117.1,4,12.38
Manufacture of beverages,01-02-2025,116.9,-2.58,-0.17
Manufacture of beverages,01-03-2025,133.4,7.41,14.11
Manufacture of beverages,01-04-2025,121.9,-1.53,-8.62
Manufacture of beverages,01-05-2025,131.4,-3.67,7.79
Manufacture of beverages,01-06-2025,115.7,-7.59,-11.95
Manufacture of beverages,01-07-2025,105.1,-6.91,-9.16
Manufacture of beverages,01-08-2025,99.6,-0.7,-5.23
Manufacture of beverages,01-09-2025,100.4,-1.38,0.8
Manufacture of beverages,01-10-2025,99.9,-2.73,-0.5
Manufacture of beverages,01-11-2025,97.2,-2.21,-2.7
Manufacture of beverages,01-12-2025,102.9,-1.25,5.86
Manufacture of chemicals and chemical products,01-04-2012,100.4,NULL,NULL
Manufacture of chemicals and chemical products,01-05-2012,102.9,NULL,2.49
Manufacture of chemicals and chemical products,01-06-2012,102.6,NULL,-0.29
Manufacture of chemicals and chemical products,01-07-2012,104.9,NULL,2.24
Manufacture of chemicals and chemical products,01-08-2012,106.5,NULL,1.53
Manufacture of chemicals and chemical products,01-09-2012,102.6,NULL,-3.66
